序号,类别,标题,起始页,结束页,页数,相对路径
1,辅助材料,封面,1,4,4,00_辅助材料/封面.pdf
2,辅助材料,版权页,5,9,5,00_辅助材料/版权页.pdf
3,辅助材料,扉页,10,10,1,00_辅助材料/扉页.pdf
4,辅助材料,术语对照表,11,19,9,00_辅助材料/术语对照表.pdf
5,辅助材料,目录,20,30,11,00_辅助材料/目录.pdf
6,辅助材料,导读,31,41,11,00_辅助材料/导读.pdf
7,辅助材料,附录B_新旧版条款对照,310,319,10,00_辅助材料/附录B_新旧版条款对照.pdf
8,辅助材料,索引,320,328,9,00_辅助材料/索引.pdf
9,条款,条款01_视C++为一个语言联邦,42,44,3,01_让自己习惯C++/条款01_视C++为一个语言联邦.pdf
10,条款,条款02_尽量以const_enum_inline替换_sharp_define,44,48,5,01_让自己习惯C++/条款02_尽量以const_enum_inline替换_sharp_define.pdf
11,条款,条款03_尽可能使用const,48,57,10,01_让自己习惯C++/条款03_尽可能使用const.pdf
12,条款,条款04_确定对象被使用前已先被初始化,57,64,8,01_让自己习惯C++/条款04_确定对象被使用前已先被初始化.pdf
13,条款,条款05_了解C++默默编写并调用哪些函数,65,68,4,02_构造_析构_赋值运算/条款05_了解C++默默编写并调用哪些函数.pdf
14,条款,条款06_若不想使用编译器自动生成的函数就该明确拒绝,68,71,4,02_构造_析构_赋值运算/条款06_若不想使用编译器自动生成的函数就该明确拒绝.pdf
15,条款,条款07_为多态基类声明virtual析构函数,71,76,6,02_构造_析构_赋值运算/条款07_为多态基类声明virtual析构函数.pdf
16,条款,条款08_别让异常逃离析构函数,76,79,4,02_构造_析构_赋值运算/条款08_别让异常逃离析构函数.pdf
17,条款,条款09_绝不在构造和析构过程中调用virtual函数,79,83,5,02_构造_析构_赋值运算/条款09_绝不在构造和析构过程中调用virtual函数.pdf
18,条款,条款10_令operator=返回一个reference_to_this,83,84,2,02_构造_析构_赋值运算/条款10_令operator=返回一个reference_to_this.pdf
19,条款,条款11_在operator=中处理自我赋值,84,88,5,02_构造_析构_赋值运算/条款11_在operator=中处理自我赋值.pdf
20,条款,条款12_复制对象时勿忘其每一个成分,88,91,4,02_构造_析构_赋值运算/条款12_复制对象时勿忘其每一个成分.pdf
21,条款,条款13_以对象管理资源,92,97,6,03_资源管理/条款13_以对象管理资源.pdf
22,条款,条款14_在资源管理类中小心copying行为,97,100,4,03_资源管理/条款14_在资源管理类中小心copying行为.pdf
23,条款,条款15_在资源管理类中提供对原始资源的访问,100,104,5,03_资源管理/条款15_在资源管理类中提供对原始资源的访问.pdf
24,条款,条款16_成对使用new和delete时要采取相同形式,104,106,3,03_资源管理/条款16_成对使用new和delete时要采取相同形式.pdf
25,条款,条款17_以独立语句将newed对象置入智能指针,106,109,4,03_资源管理/条款17_以独立语句将newed对象置入智能指针.pdf
26,条款,条款18_让接口容易被正确使用不易被误用,110,115,6,04_设计与声明/条款18_让接口容易被正确使用不易被误用.pdf
27,条款,条款19_设计class犹如设计type,115,117,3,04_设计与声明/条款19_设计class犹如设计type.pdf
28,条款,条款20_宁以pass-by-reference-to-const替换pass-by-value,117,122,6,04_设计与声明/条款20_宁以pass-by-reference-to-const替换pass-by-value.pdf
29,条款,条款21_必须返回对象时别妄想返回其reference,122,125,4,04_设计与声明/条款21_必须返回对象时别妄想返回其reference.pdf
30,条款,条款22_将成员变量声明为private,125,128,4,04_设计与声明/条款22_将成员变量声明为private.pdf
31,条款,条款23_宁以non-member_non-friend替换member函数,129,134,6,05_实现/条款23_宁以non-member_non-friend替换member函数.pdf
32,条款,条款24_若所有参数皆需类型转换请为此采用non-member函数,134,137,4,05_实现/条款24_若所有参数皆需类型转换请为此采用non-member函数.pdf
33,条款,条款25_考虑写出一个不抛异常的swap函数,137,144,8,05_实现/条款25_考虑写出一个不抛异常的swap函数.pdf
34,条款,条款26_尽可能延后变量定义式的出现时间,144,148,5,05_实现/条款26_尽可能延后变量定义式的出现时间.pdf
35,条款,条款27_尽量少做转型动作,148,154,7,05_实现/条款27_尽量少做转型动作.pdf
36,条款,条款28_避免返回handles指向对象内部成分,154,158,5,05_实现/条款28_避免返回handles指向对象内部成分.pdf
37,条款,条款29_为异常安全而努力是值得的,158,165,8,05_实现/条款29_为异常安全而努力是值得的.pdf
38,条款,条款30_透彻了解inlining的里里外外,165,170,6,05_实现/条款30_透彻了解inlining的里里外外.pdf
39,条款,条款31_将文件间的编译依存关系降至最低,171,181,11,06_继承与面向对象设计/条款31_将文件间的编译依存关系降至最低.pdf
40,条款,条款32_确定你的public继承塑模出is-a关系,181,187,7,06_继承与面向对象设计/条款32_确定你的public继承塑模出is-a关系.pdf
41,条款,条款33_避免遮掩继承而来的名称,187,192,6,06_继承与面向对象设计/条款33_避免遮掩继承而来的名称.pdf
42,条款,条款34_区分接口继承和实现继承,192,200,9,06_继承与面向对象设计/条款34_区分接口继承和实现继承.pdf
43,条款,条款35_考虑virtual函数以外的其他选择,200,209,10,06_继承与面向对象设计/条款35_考虑virtual函数以外的其他选择.pdf
44,条款,条款36_绝不重新定义继承而来的non-virtual函数,209,214,6,06_继承与面向对象设计/条款36_绝不重新定义继承而来的non-virtual函数.pdf
45,条款,条款37_绝不重新定义继承而来的缺省参数值,214,215,2,06_继承与面向对象设计/条款37_绝不重新定义继承而来的缺省参数值.pdf
46,条款,条款38_通过复合塑模出has-a或根据某物实现出,215,218,4,06_继承与面向对象设计/条款38_通过复合塑模出has-a或根据某物实现出.pdf
47,条款,条款39_明智而审慎地使用private继承,218,223,6,06_继承与面向对象设计/条款39_明智而审慎地使用private继承.pdf
48,条款,条款40_明智而审慎地使用多重继承,223,229,7,06_继承与面向对象设计/条款40_明智而审慎地使用多重继承.pdf
49,条款,条款41_了解隐式接口和编译期多态,230,234,5,07_模板与泛型编程/条款41_了解隐式接口和编译期多态.pdf
50,条款,条款42_了解typename的双重意义,234,238,5,07_模板与泛型编程/条款42_了解typename的双重意义.pdf
51,条款,条款43_学习处理模板化基类内的名称,238,243,6,07_模板与泛型编程/条款43_学习处理模板化基类内的名称.pdf
52,条款,条款44_将与参数无关的代码抽离templates,243,249,7,07_模板与泛型编程/条款44_将与参数无关的代码抽离templates.pdf
53,条款,条款45_运用成员函数模板接受所有兼容类型,249,253,5,07_模板与泛型编程/条款45_运用成员函数模板接受所有兼容类型.pdf
54,条款,条款46_需要类型转换时请为模板定义非成员函数,253,258,6,07_模板与泛型编程/条款46_需要类型转换时请为模板定义非成员函数.pdf
55,条款,条款47_请使用traits_classes表现类型信息,258,264,7,07_模板与泛型编程/条款47_请使用traits_classes表现类型信息.pdf
56,条款,条款48_认识template元编程,264,270,7,07_模板与泛型编程/条款48_认识template元编程.pdf
57,条款,条款49_了解new-handler的行为,271,278,8,08_定制new和delete/条款49_了解new-handler的行为.pdf
58,条款,条款50_了解new和delete的合理替换时机,278,283,6,08_定制new和delete/条款50_了解new和delete的合理替换时机.pdf
59,条款,条款51_编写new和delete时需固守常规,283,288,6,08_定制new和delete/条款51_编写new和delete时需固守常规.pdf
60,条款,条款52_写了placement_new也要写placement_delete,288,293,6,08_定制new和delete/条款52_写了placement_new也要写placement_delete.pdf
61,条款,条款53_不要轻忽编译器的警告,293,294,2,08_定制new和delete/条款53_不要轻忽编译器的警告.pdf
62,条款,条款54_让自己熟悉包括TR1在内的标准程序库,294,300,7,08_定制new和delete/条款54_让自己熟悉包括TR1在内的标准程序库.pdf
63,条款,条款55_让自己熟悉Boost,300,309,10,08_定制new和delete/条款55_让自己熟悉Boost.pdf
