序号,类别,标题,起始页,结束页,页数,相对路径
1,辅助材料,封面,1,4,4,00_辅助材料/封面.pdf
2,辅助材料,出版者的话,5,6,2,00_辅助材料/出版者的话.pdf
3,辅助材料,中文版序一,7,9,3,00_辅助材料/中文版序一.pdf
4,辅助材料,中文版序二,10,11,2,00_辅助材料/中文版序二.pdf
5,辅助材料,译者序,12,12,1,00_辅助材料/译者序.pdf
6,辅助材料,前言,13,27,15,00_辅助材料/前言.pdf
7,辅助材料,关于作者,28,29,2,00_辅助材料/关于作者.pdf
8,辅助材料,目录,30,36,7,00_辅助材料/目录.pdf
9,辅助材料,附录A_错误处理,764,767,4,00_辅助材料/附录A_错误处理.pdf
10,辅助材料,参考文献,768,775,8,00_辅助材料/参考文献.pdf
11,辅助材料,Part_I_程序结构和执行,57,57,1,00_辅助材料/Part_I_程序结构和执行.pdf
12,辅助材料,Part_II_在系统上运行程序,499,499,1,00_辅助材料/Part_II_在系统上运行程序.pdf
13,辅助材料,Part_III_程序间的交流和通信,656,656,1,00_辅助材料/Part_III_程序间的交流和通信.pdf
14,小节,1.1 信息就是位+上下文,37,39,3,第1章_计算机系统漫游/1.1_信息就是位_上下文.pdf
15,小节,1.2 程序被其他程序翻译成不同的格式,39,40,2,第1章_计算机系统漫游/1.2_程序被其他程序翻译成不同的格式.pdf
16,小节,1.3 了解编译系统如何工作是大有益处的,40,41,2,第1章_计算机系统漫游/1.3_了解编译系统如何工作是大有益处的.pdf
17,小节,1.4 处理器读并解释储存在内存中的指令,41,45,5,第1章_计算机系统漫游/1.4_处理器读并解释储存在内存中的指令.pdf
18,小节,1.5 高速缓存至关重要,45,45,1,第1章_计算机系统漫游/1.5_高速缓存至关重要.pdf
19,小节,1.6 储存设备形成层次结构,45,46,2,第1章_计算机系统漫游/1.6_储存设备形成层次结构.pdf
20,小节,1.7 操作系统管理硬件,46,50,5,第1章_计算机系统漫游/1.7_操作系统管理硬件.pdf
21,小节,1.8 系统之间利用网络通信,50,52,3,第1章_计算机系统漫游/1.8_系统之间利用网络通信.pdf
22,小节,1.9 重要主题,52,56,5,第1章_计算机系统漫游/1.9_重要主题.pdf
23,小节,1.10 小结,56,56,1,第1章_计算机系统漫游/1.10_小结.pdf
24,练习题答案,参考答案、练习题答案,56,56,1,第1章_计算机系统漫游/参考答案、练习题答案.pdf
25,章标题页,第2章 信息的表示和处理,58,59,2,Part_I_程序结构和执行/第2章_信息的表示和处理/第2章_信息的表示和处理_标题页.pdf
26,小节,2.1 信息存储,60,77,18,Part_I_程序结构和执行/第2章_信息的表示和处理/2.1_信息存储.pdf
27,小节,2.2 整数表示,77,96,20,Part_I_程序结构和执行/第2章_信息的表示和处理/2.2_整数表示.pdf
28,小节,2.3 整数运算,96,111,16,Part_I_程序结构和执行/第2章_信息的表示和处理/2.3_整数运算.pdf
29,小节,2.4 浮点数,111,123,13,Part_I_程序结构和执行/第2章_信息的表示和处理/2.4_浮点数.pdf
30,小节,2.5 小结,123,124,2,Part_I_程序结构和执行/第2章_信息的表示和处理/2.5_小结.pdf
31,参考文献说明,参考文献说明,124,124,1,Part_I_程序结构和执行/第2章_信息的表示和处理/参考文献说明.pdf
32,家庭作业,家庭作业,124,133,10,Part_I_程序结构和执行/第2章_信息的表示和处理/家庭作业.pdf
33,练习题答案,练习题答案,133,144,12,Part_I_程序结构和执行/第2章_信息的表示和处理/练习题答案.pdf
34,章标题页,第3章 程序的机器级表示,145,145,1,Part_I_程序结构和执行/第3章_程序的机器级表示/第3章_程序的机器级表示_标题页.pdf
35,小节,3.1 历史观点,146,149,4,Part_I_程序结构和执行/第3章_程序的机器级表示/3.1_历史观点.pdf
36,小节,3.2 程序编码,149,155,7,Part_I_程序结构和执行/第3章_程序的机器级表示/3.2_程序编码.pdf
37,小节,3.3 数据格式,155,155,1,Part_I_程序结构和执行/第3章_程序的机器级表示/3.3_数据格式.pdf
38,小节,3.4 访问信息,155,164,10,Part_I_程序结构和执行/第3章_程序的机器级表示/3.4_访问信息.pdf
39,小节,3.5 算数和逻辑操作,164,171,8,Part_I_程序结构和执行/第3章_程序的机器级表示/3.5_算数和逻辑操作.pdf
40,小节,3.6 控制,171,200,30,Part_I_程序结构和执行/第3章_程序的机器级表示/3.6_控制.pdf
41,小节,3.7 过程,200,212,13,Part_I_程序结构和执行/第3章_程序的机器级表示/3.7_过程.pdf
42,小节,3.8 数组分配和访问,212,219,8,Part_I_程序结构和执行/第3章_程序的机器级表示/3.8_数组分配和访问.pdf
43,小节,3.9 异数的数据结构,219,228,10,Part_I_程序结构和执行/第3章_程序的机器级表示/3.9_异数的数据结构.pdf
44,小节,3.10 在机器级程序中将控制与数据结合起来,228,240,13,Part_I_程序结构和执行/第3章_程序的机器级表示/3.10_在机器级程序中将控制与数据结合起来.pdf
45,小节,3.11 浮点代码,240,252,13,Part_I_程序结构和执行/第3章_程序的机器级表示/3.11_浮点代码.pdf
46,小节,3.12 小结,252,252,1,Part_I_程序结构和执行/第3章_程序的机器级表示/3.12_小结.pdf
47,参考文献说明,参考文献说明,252,252,1,Part_I_程序结构和执行/第3章_程序的机器级表示/参考文献说明.pdf
48,家庭作业,家庭作业,252,262,11,Part_I_程序结构和执行/第3章_程序的机器级表示/家庭作业.pdf
49,练习题答案,练习题答案,262,278,17,Part_I_程序结构和执行/第3章_程序的机器级表示/练习题答案.pdf
50,章标题页,第4章 处理器体系结构,279,280,2,Part_I_程序结构和执行/第4章_处理器体系结构/第4章_处理器体系结构_标题页.pdf
51,小节,4.1 Y86-64指令集体系结构,281,292,12,Part_I_程序结构和执行/第4章_处理器体系结构/4.1_Y86-64指令集体系结构.pdf
52,小节,4.2 逻辑设计和硬件控制语言HCL,292,300,9,Part_I_程序结构和执行/第4章_处理器体系结构/4.2_逻辑设计和硬件控制语言HCL.pdf
53,小节,4.3 Y86-64的顺序现实,300,318,19,Part_I_程序结构和执行/第4章_处理器体系结构/4.3_Y86-64的顺序现实.pdf
54,小节,4.4 流水线的通用原理,318,324,7,Part_I_程序结构和执行/第4章_处理器体系结构/4.4_流水线的通用原理.pdf
55,小节,4.5 Y86-64的流水线实现,324,361,38,Part_I_程序结构和执行/第4章_处理器体系结构/4.5_Y86-64的流水线实现.pdf
56,小节,4.6 小结,361,362,2,Part_I_程序结构和执行/第4章_处理器体系结构/4.6_小结.pdf
57,参考文献说明,参考文献说明,362,363,2,Part_I_程序结构和执行/第4章_处理器体系结构/参考文献说明.pdf
58,家庭作业,家庭作业,363,367,5,Part_I_程序结构和执行/第4章_处理器体系结构/家庭作业.pdf
59,练习题答案,练习题答案,367,376,10,Part_I_程序结构和执行/第4章_处理器体系结构/练习题答案.pdf
60,章标题页,第5章 优化程序性能,377,377,1,Part_I_程序结构和执行/第5章_优化程序性能/第5章_优化程序性能_标题页.pdf
61,小节,5.1 优化编译器的能力和局限性,378,381,4,Part_I_程序结构和执行/第5章_优化程序性能/5.1_优化编译器的能力和局限性.pdf
62,小节,5.2 表示程序性能,381,383,3,Part_I_程序结构和执行/第5章_优化程序性能/5.2_表示程序性能.pdf
63,小节,5.3 程序示例,383,386,4,Part_I_程序结构和执行/第5章_优化程序性能/5.3_程序示例.pdf
64,小节,5.4 消除循环的低效率,386,389,4,Part_I_程序结构和执行/第5章_优化程序性能/5.4_消除循环的低效率.pdf
65,小节,5.5 减少过程调用,389,390,2,Part_I_程序结构和执行/第5章_优化程序性能/5.5_减少过程调用.pdf
66,小节,5.6 消除不必要的内存引用,390,393,4,Part_I_程序结构和执行/第5章_优化程序性能/5.6_消除不必要的内存引用.pdf
67,小节,5.7 理解现代处理器,393,402,10,Part_I_程序结构和执行/第5章_优化程序性能/5.7_理解现代处理器.pdf
68,小节,5.8 循环展开,402,405,4,Part_I_程序结构和执行/第5章_优化程序性能/5.8_循环展开.pdf
69,小节,5.9 提高并行性,405,413,9,Part_I_程序结构和执行/第5章_优化程序性能/5.9_提高并行性.pdf
70,小节,5.10 优化合并代码的结果小结,413,414,2,Part_I_程序结构和执行/第5章_优化程序性能/5.10_优化合并代码的结果小结.pdf
71,小节,5.11 一些限制因素,414,418,5,Part_I_程序结构和执行/第5章_优化程序性能/5.11_一些限制因素.pdf
72,小节,5.12 理解内存性能,418,423,6,Part_I_程序结构和执行/第5章_优化程序性能/5.12_理解内存性能.pdf
73,小节,5.13 应用：性能提高技术,423,424,2,Part_I_程序结构和执行/第5章_优化程序性能/5.13_应用：性能提高技术.pdf
74,小节,5.14 确认和消除性能瓶颈,424,429,6,Part_I_程序结构和执行/第5章_优化程序性能/5.14_确认和消除性能瓶颈.pdf
75,参考文献说明,参考文献说明,429,429,1,Part_I_程序结构和执行/第5章_优化程序性能/参考文献说明.pdf
76,家庭作业,家庭作业,429,431,3,Part_I_程序结构和执行/第5章_优化程序性能/家庭作业.pdf
77,练习题答案,练习题答案,431,434,4,Part_I_程序结构和执行/第5章_优化程序性能/练习题答案.pdf
78,小节,6.1 存储技术,435,454,20,Part_I_程序结构和执行/第6章_存储器层次结构/6.1_存储技术.pdf
79,小节,6.2 局部性,454,457,4,Part_I_程序结构和执行/第6章_存储器层次结构/6.2_局部性.pdf
80,小节,6.3 存储器层次结构,457,461,5,Part_I_程序结构和执行/第6章_存储器层次结构/6.3_存储器层次结构.pdf
81,小节,6.4 高速缓存存储器,461,476,16,Part_I_程序结构和执行/第6章_存储器层次结构/6.4_高速缓存存储器.pdf
82,小节,6.5 编写高速缓存友好的代码,476,480,5,Part_I_程序结构和执行/第6章_存储器层次结构/6.5_编写高速缓存友好的代码.pdf
83,小节,6.6 综合：高速缓存对程序性能的影响,480,486,7,Part_I_程序结构和执行/第6章_存储器层次结构/6.6_综合：高速缓存对程序性能的影响.pdf
84,小节,6.7 小结,486,487,2,Part_I_程序结构和执行/第6章_存储器层次结构/6.7_小结.pdf
85,参考文献说明,参考文献说明,487,487,1,Part_I_程序结构和执行/第6章_存储器层次结构/参考文献说明.pdf
86,家庭作业,家庭作业,487,495,9,Part_I_程序结构和执行/第6章_存储器层次结构/家庭作业.pdf
87,练习题答案,练习题答案,495,498,4,Part_I_程序结构和执行/第6章_存储器层次结构/练习题答案.pdf
88,章标题页,第7章 链接,500,500,1,Part_II_在系统上运行程序/第7章_链接/第7章_链接_标题页.pdf
89,小节,7.1 编译器驱动程序,501,502,2,Part_II_在系统上运行程序/第7章_链接/7.1_编译器驱动程序.pdf
90,小节,7.2 静态链接,502,502,1,Part_II_在系统上运行程序/第7章_链接/7.2_静态链接.pdf
91,小节,7.3 目标文件,502,503,2,Part_II_在系统上运行程序/第7章_链接/7.3_目标文件.pdf
92,小节,7.4 可重定位目标文件,503,504,2,Part_II_在系统上运行程序/第7章_链接/7.4_可重定位目标文件.pdf
93,小节,7.5 符号和符号表,504,506,3,Part_II_在系统上运行程序/第7章_链接/7.5_符号和符号表.pdf
94,小节,7.6 符号解析,506,514,9,Part_II_在系统上运行程序/第7章_链接/7.6_符号解析.pdf
95,小节,7.7 重定位,514,519,6,Part_II_在系统上运行程序/第7章_链接/7.7_重定位.pdf
96,小节,7.8 可执行目标文件,519,520,2,Part_II_在系统上运行程序/第7章_链接/7.8_可执行目标文件.pdf
97,小节,7.9 加载可执行目标文件,520,521,2,Part_II_在系统上运行程序/第7章_链接/7.9_加载可执行目标文件.pdf
98,小节,7.10 动态链接共享库,521,523,3,Part_II_在系统上运行程序/第7章_链接/7.10_动态链接共享库.pdf
99,小节,7.11 从应用程序中加载和链接共享库,523,525,3,Part_II_在系统上运行程序/第7章_链接/7.11_从应用程序中加载和链接共享库.pdf
100,小节,7.12 位置无关代码,525,532,8,Part_II_在系统上运行程序/第7章_链接/7.12_位置无关代码.pdf
101,小节,7.13 库打桩机制,532,532,1,Part_II_在系统上运行程序/第7章_链接/7.13_库打桩机制.pdf
102,小节,7.14 处理目标文件的工具,532,532,1,Part_II_在系统上运行程序/第7章_链接/7.14_处理目标文件的工具.pdf
103,小节,7.15 小结,532,533,2,Part_II_在系统上运行程序/第7章_链接/7.15_小结.pdf
104,参考文献说明,参考文献说明,533,533,1,Part_II_在系统上运行程序/第7章_链接/参考文献说明.pdf
105,家庭作业,家庭作业,533,535,3,Part_II_在系统上运行程序/第7章_链接/家庭作业.pdf
106,练习题答案,练习题答案,535,536,2,Part_II_在系统上运行程序/第7章_链接/练习题答案.pdf
107,章标题页,第8章 异常控制流,537,537,1,Part_II_在系统上运行程序/第8章_异常控制流/第8章_异常控制流_标题页.pdf
108,小节,8.1 异常,538,544,7,Part_II_在系统上运行程序/第8章_异常控制流/8.1_异常.pdf
109,小节,8.2 进程,544,548,5,Part_II_在系统上运行程序/第8章_异常控制流/8.2_进程.pdf
110,小节,8.3 系统调用错误处理,548,549,2,Part_II_在系统上运行程序/第8章_异常控制流/8.3_系统调用错误处理.pdf
111,小节,8.4 进程控制,549,562,14,Part_II_在系统上运行程序/第8章_异常控制流/8.4_进程控制.pdf
112,小节,8.5 信号,562,582,21,Part_II_在系统上运行程序/第8章_异常控制流/8.5_信号.pdf
113,小节,8.6 非本地跳转,582,586,5,Part_II_在系统上运行程序/第8章_异常控制流/8.6_非本地跳转.pdf
114,小节,8.7 操作进程的工具,586,586,1,Part_II_在系统上运行程序/第8章_异常控制流/8.7_操作进程的工具.pdf
115,小节,8.8 小结,586,586,1,Part_II_在系统上运行程序/第8章_异常控制流/8.8_小结.pdf
116,参考文献说明,参考文献说明,586,586,1,Part_II_在系统上运行程序/第8章_异常控制流/参考文献说明.pdf
117,家庭作业,家庭作业,586,592,7,Part_II_在系统上运行程序/第8章_异常控制流/家庭作业.pdf
118,练习题答案,练习题答案,592,594,3,Part_II_在系统上运行程序/第8章_异常控制流/练习题答案.pdf
119,章标题页,第9章 虚拟内存,595,595,1,Part_II_在系统上运行程序/第9章_虚拟内存/第9章_虚拟内存_标题页.pdf
120,小节,9.1 物理和虚拟寻址,596,596,1,Part_II_在系统上运行程序/第9章_虚拟内存/9.1_物理和虚拟寻址.pdf
121,小节,9.2 地址空间,596,597,2,Part_II_在系统上运行程序/第9章_虚拟内存/9.2_地址空间.pdf
122,小节,9.3 虚拟内存作为缓存的工具,597,601,5,Part_II_在系统上运行程序/第9章_虚拟内存/9.3_虚拟内存作为缓存的工具.pdf
123,小节,9.4 虚拟内存为内存管理的工具,601,603,3,Part_II_在系统上运行程序/第9章_虚拟内存/9.4_虚拟内存为内存管理的工具.pdf
124,小节,9.5 虚拟内存作为内存保护的工具,603,603,1,Part_II_在系统上运行程序/第9章_虚拟内存/9.5_虚拟内存作为内存保护的工具.pdf
125,小节,9.6 地址翻译,603,612,10,Part_II_在系统上运行程序/第9章_虚拟内存/9.6_地址翻译.pdf
126,小节,9.7 案例研究：Intel Core i7/Linux内存系统,612,618,7,Part_II_在系统上运行程序/第9章_虚拟内存/9.7_案例研究：Intel_Core_i7_Linux内存系统.pdf
127,小节,9.8 内存映射,618,623,6,Part_II_在系统上运行程序/第9章_虚拟内存/9.8_内存映射.pdf
128,小节,9.9 动态内存分配,623,641,19,Part_II_在系统上运行程序/第9章_虚拟内存/9.9_动态内存分配.pdf
129,小节,9.10 垃圾收集,641,645,5,Part_II_在系统上运行程序/第9章_虚拟内存/9.10_垃圾收集.pdf
130,小节,9.11 C程序中常见的与内存有关的错误,645,649,5,Part_II_在系统上运行程序/第9章_虚拟内存/9.11_C程序中常见的与内存有关的错误.pdf
131,小节,9.12 小结,649,649,1,Part_II_在系统上运行程序/第9章_虚拟内存/9.12_小结.pdf
132,参考文献说明,参考文献说明,649,650,2,Part_II_在系统上运行程序/第9章_虚拟内存/参考文献说明.pdf
133,家庭作业,家庭作业,650,653,4,Part_II_在系统上运行程序/第9章_虚拟内存/家庭作业.pdf
134,练习题答案,练习题答案,653,655,3,Part_II_在系统上运行程序/第9章_虚拟内存/练习题答案.pdf
135,小节,10.1 Unix I/O,657,658,2,Part_III_程序间的交流和通信/第10章_系统级I_O/10.1_Unix_I_O.pdf
136,小节,10.2 文件,658,659,2,Part_III_程序间的交流和通信/第10章_系统级I_O/10.2_文件.pdf
137,小节,10.3 打开和关闭文件,659,660,2,Part_III_程序间的交流和通信/第10章_系统级I_O/10.3_打开和关闭文件.pdf
138,小节,10.4 读和写文件,660,661,2,Part_III_程序间的交流和通信/第10章_系统级I_O/10.4_读和写文件.pdf
139,小节,10.5 用RIO包健壮地读写,661,667,7,Part_III_程序间的交流和通信/第10章_系统级I_O/10.5_用RIO包健壮地读写.pdf
140,小节,10.6 读取文件元数据,667,668,2,Part_III_程序间的交流和通信/第10章_系统级I_O/10.6_读取文件元数据.pdf
141,小节,10.7 读取目录和内容,668,669,2,Part_III_程序间的交流和通信/第10章_系统级I_O/10.7_读取目录和内容.pdf
142,小节,10.8 共享文件,669,672,4,Part_III_程序间的交流和通信/第10章_系统级I_O/10.8_共享文件.pdf
143,小节,10.9 I/O重定向,672,673,2,Part_III_程序间的交流和通信/第10章_系统级I_O/10.9_I_O重定向.pdf
144,小节,10.10 标准I/O ,673,673,1,Part_III_程序间的交流和通信/第10章_系统级I_O/10.10_标准I_O.pdf
145,小节,10.11 综合：我该使用哪些I/O函数？,673,675,3,Part_III_程序间的交流和通信/第10章_系统级I_O/10.11_综合：我该使用哪些I_O函数？.pdf
146,小节,10.12 小结,675,675,1,Part_III_程序间的交流和通信/第10章_系统级I_O/10.12_小结.pdf
147,参考文献说明,参考文献说明,675,675,1,Part_III_程序间的交流和通信/第10章_系统级I_O/参考文献说明.pdf
148,家庭作业,家庭作业,675,676,2,Part_III_程序间的交流和通信/第10章_系统级I_O/家庭作业.pdf
149,练习题答案,练习题答案,676,676,1,Part_III_程序间的交流和通信/第10章_系统级I_O/练习题答案.pdf
150,小节,11.1 客户端-服务器编程模型,677,678,2,Part_III_程序间的交流和通信/第11章_网络编程/11.1_客户端-服务器编程模型.pdf
151,小节,11.2 网络,678,681,4,Part_III_程序间的交流和通信/第11章_网络编程/11.2_网络.pdf
152,小节,11.3 全球IP因特网,681,687,7,Part_III_程序间的交流和通信/第11章_网络编程/11.3_全球IP因特网.pdf
153,小节,11.4 套接字接口,687,700,14,Part_III_程序间的交流和通信/第11章_网络编程/11.4_套接字接口.pdf
154,小节,11.5 Web服务器,700,706,7,Part_III_程序间的交流和通信/第11章_网络编程/11.5_Web服务器.pdf
155,小节,11.6 综合：TINY Web服务器,706,713,8,Part_III_程序间的交流和通信/第11章_网络编程/11.6_综合：TINY_Web服务器.pdf
156,小节,11.7 小结,713,713,1,Part_III_程序间的交流和通信/第11章_网络编程/11.7_小结.pdf
157,参考文献说明,参考文献说明,713,713,1,Part_III_程序间的交流和通信/第11章_网络编程/参考文献说明.pdf
158,家庭作业,家庭作业,713,714,2,Part_III_程序间的交流和通信/第11章_网络编程/家庭作业.pdf
159,练习题答案,练习题答案,714,715,2,Part_III_程序间的交流和通信/第11章_网络编程/练习题答案.pdf
160,章标题页,第12章 并发编程,716,716,1,Part_III_程序间的交流和通信/第12章_并发编程/第12章_并发编程_标题页.pdf
161,小节,12.1 基于进程的并发编程,717,719,3,Part_III_程序间的交流和通信/第12章_并发编程/12.1_基于进程的并发编程.pdf
162,小节,12.2 基于I/O多路复用的并发编程,719,726,8,Part_III_程序间的交流和通信/第12章_并发编程/12.2_基于I_O多路复用的并发编程.pdf
163,小节,12.3 基于线程的并发编程,726,731,6,Part_III_程序间的交流和通信/第12章_并发编程/12.3_基于线程的并发编程.pdf
164,小节,12.4 多线程程序中的共享变量,731,733,3,Part_III_程序间的交流和通信/第12章_并发编程/12.4_多线程程序中的共享变量.pdf
165,小节,12.5 用信号量同步线程,733,745,13,Part_III_程序间的交流和通信/第12章_并发编程/12.5_用信号量同步线程.pdf
166,小节,12.6 使用线程提高并行性,745,751,7,Part_III_程序间的交流和通信/第12章_并发编程/12.6_使用线程提高并行性.pdf
167,小节,12.7 其他并发问题,751,757,7,Part_III_程序间的交流和通信/第12章_并发编程/12.7_其他并发问题.pdf
168,小节,12.8 小结,757,758,2,Part_III_程序间的交流和通信/第12章_并发编程/12.8_小结.pdf
169,参考文献说明,参考文献说明,758,758,1,Part_III_程序间的交流和通信/第12章_并发编程/参考文献说明.pdf
170,家庭作业,家庭作业,758,761,4,Part_III_程序间的交流和通信/第12章_并发编程/家庭作业.pdf
171,练习题答案,练习题答案,761,763,3,Part_III_程序间的交流和通信/第12章_并发编程/练习题答案.pdf
